Title,Titlecontd,ReleaseYear,Locations,ConvertedLocations,Latitude,Longitude,FunFacts,ProductionCompany,Distributor,Director,Writer,Actor1,Actor2,Actor3,SFFindNeighborhoods,AnalysisNeighborhoods,CurrentSupervisorDistricts
Women is Losers,,2020,119 Vernon St,"119 Vernon St, San Francisco CA",37.714682,-122.468279,,Look at the Moon Pictures,,Lissette Feliciano,Lissette Feliciano,Lorenza Izzo,Simu Liu,Liza Weil,65,24,1
Quitters,,2015,Clement St. from 5th and 7th Ave.,"443 Clement St, San Francisco, CA 94118",37.782736,-122.464093,,"Frederick & Ashbury, LLC.",,Noah Pritzker,Noah Pritzker,Kara Hayward,Mira Sorvino,Saffron Burrows,,,1
Women is Losers,,2020,MUNI Yard - 425 Geneva Ave,"MUNI Yard - 425 Geneva Ave, San Francisco CA",37.729553,-122.452466,,Look at the Moon Pictures,,Lissette Feliciano,Lissette Feliciano,Lorenza Izzo,Simu Liu,Liza Weil,80,28,1
Bitter Melon,,2018,600 Niagara Ave,"600 Niagara Ave, San Francisco CA",37.720362,-122.449309,,Bitter Melon Film LLC/Mammoth Pictures,"ABS-CBN, Gravitas Ventures",H.P. Mendoza,H.P. Mendoza,Jon Norman Schneider,Patrick Epino,Brian Rivera,81,24,1
"Smile Again, Jenny Lee",,2015,Mission Inn (5630 Mission St),"5630 Mission St, San Francisco CA",37.711262,-122.447415,,Carlo Caldana/Marguery Films,,Carlo Caldana,Linda Demetrick,Craig Tsuyumine,Puneet Prasad,Larry Kitagawa,66,28,1
Looking,Season 2 ep 203,2015,"Boxer Stadium, 166 Havelock Street","Boxer Stadium, 166 Havelock Street, San Francisco CA",37.726919,-122.444629,,"Mission Street Productions, LLC",HBO,Andrew Haigh,Michael Lannan,Jonathan Groff,Frankie Alvarez,Murray Bartlett,94,28,1
Looking,Season 2 ep 203,2015,"Balboa pool Lot, San Jose Avenue & Havelock St","51 Havelock St, San Francisco, CA 94112",37.726258,-122.443228,,"Mission Street Productions, LLC",HBO,Andrew Haigh,Michael Lannan,Jonathan Groff,Frankie Alvarez,Murray Bartlett,94,28,1
Pushing Dead,,2016,"Daniel's Pharmacy, 943 Geneva Ave","Daniel's Pharmacy, 943 Geneva Ave, San Francisco CA",37.716356,-122.44032,,"Pushing Dead , LLC",TBD,Tom Brown,Tom Brown,Danny Glover,James Roday,Robin Weigert,90,7,1
Looking,Season 2 ep 204,2015,"Daniel's Pharmacy, 943 Geneva Ave","Daniel's Pharmacy, 943 Geneva Ave., San Francisco CA",37.716356,-122.44032,,"Mission Street Productions, LLC",HBO,Andrew Haigh,Michael Lannan,Jonathan Groff,Frankie Alvarez,Murray Bartlett,90,7,1
Sister Act 2: Back in the Habit,,1993,CCSF Alemany Campus,"CCSF Alemany Campus, San Francisco CA",37.800273,-122.440234,,Touchstone Pictures,Buena Vista Pictures,Bill Duke,Joseph Howard,Whoopi Goldberg,Maggie Smith,,80,28,1
Looking,Season 2 ep 207,2015,"Valenti, Marini, Perata, 4840 Mission Street","Valenti, Marini, Perata, 4840 Mission Street, San Francisco CA",37.7203,-122.438426,,"Mission Street Productions, LLC",HBO,Andrew Haigh,Michael Lannan,Jonathan Groff,Frankie Alvarez,Murray Bartlett,80,28,1
Pushing Dead,,2016,"Cordova Market, 301 Rolph Street, San Francisco","301 Rolph Street, San Francisco, San Francisco CA",37.713619,-122.436284,,"Pushing Dead , LLC",TBD,Tom Brown,Tom Brown,Danny Glover,James Roday,Robin Weigert,58,7,1
Pushing Dead,,2016,"915 Naples, San Francisco","915 Naples, San Francisco, San Francisco CA",37.715031,-122.435255,,"Pushing Dead , LLC",TBD,Tom Brown,Tom Brown,Danny Glover,James Roday,Robin Weigert,90,7,1
Americana,,2015,679 Madrid St,"679 Madrid St, San Francisco CA",37.718721,-122.434651,,Sutro Films LLC,,Zachary Shedd,Zachary Shedd,Kelli Garner,Jack Davenport,Peter Coyote,90,7,1
The Princess Diaries,,2001,724 Brazil Avenue,"724 Brazil Avenue, San Francisco CA",37.721714,-122.428918,,Walt Disney Pictures,Buena Vista Pictures,Garry Marshall,Gina Wendkos,Julie Andrews,Anne Hathway,,90,7,1
The Princess Diaries,,2001,Firestation #3 (Brazil Avenue and Athens Street),"735 Brazil Ave, San Francisco, CA 94112",37.721938,-122.428499,,Walt Disney Pictures,Buena Vista Pictures,Garry Marshall,Gina Wendkos,Julie Andrews,Anne Hathway,,90,7,1
Bitter Melon,,2018,68 Dublin St,"68 Dublin St, San Francisco CA",37.719278,-122.425871,,Bitter Melon Film LLC/Mammoth Pictures,"ABS-CBN, Gravitas Ventures",H.P. Mendoza,H.P. Mendoza,Jon Norman Schneider,Patrick Epino,Brian Rivera,90,7,1
Looking,Special,2016,Bernal Heights Neighborhood,"Bernal Heights Neighborhood, San Francisco CA",37.739243,-122.416182,"Jake Shears, lead singer of the band Scissor Sisters, auditioned for the role of Dom.","Mission Street Productions, LLC",HBO,Andrew Haigh,Michael Lannan,Jonathan Groff,Frankie Alvarez,Murray Bartlett,94,28,1
The Dead Pool,,1988,"San Francisco National Military Cemetery (Lincoln Blvd., The Presidio, Golden Gate National Recreation Center)","1 Lincoln Blvd, San Francisco, CA 94129",37.80114,-122.46171,,Warner Bros. Pictures,Warner Bros. Pictures,Buddy Van Horn,Harry Julian Fink,Clint Eastwood,Liam Neeson,Patricia Clarkson,,,2
Dirty Harry,,1971,Dolores Park,"Mission Dolores Park (Mission District), San Francisco CA",37.7591615,-122.427309,"The two land plots that comprise the Park were used as a Jewish cemetery until 1894 when San Francisco prohibited all burials within city limits. The graves were moved to Colma, CA.",The Malpaso Company,Warner Brothers,Don Siegel,Harry Julian Fink,Clint Eastwood,Harry Guardino,,53,20,2
Mission (aka City of Bars),,2001,Dolores Park,"Mission Dolores Park (Mission District), San Francisco CA",37.7591615,-122.427309,"The two land plots that comprise the Park were used as a Jewish cemetery until 1894 when San Francisco prohibited all burials within city limits. The graves were moved to Colma, CA.",NA,NA,Loren Marsh,Loren Marsh,Chris Coburn,,,53,20,2
Sweet November,,2001,Dolores Park,"Mission Dolores Park (Mission District), San Francisco CA",37.7591615,-122.427309,"The two land plots that comprise the Park were used as a Jewish cemetery until 1894 when San Francisco prohibited all burials within city limits. The graves were moved to Colma, CA.",Warner Bros. Pictures,Warner Bros. Pictures,Pat O'Connor,Paul Yurick,Keanu Reeves,Charlize Theron,,53,20,2
Chance,Season 1 ep107,2016,145 Barlett St.,"145 Barlett St., San Francisco CA",37.796568,-122.422022,,TVM Productions,HULU,Alexandra Cunningham and Kem Nunn,Michael Lehmann,Hugh Laurie,Gretchen Mol,Ethan Suplee,53,20,2
By Hook or By Crook,,2001,"Royan Hotel (405 Valencia Street, Mission District)","Royan Hotel (405 Valencia Street, Mission District), San Francisco CA",37.76641,-122.421717,,Steakhaus Productions,Artistic License,Harriet Dodge & Silas Howard,Harriet Dodge & Silas Howard,Silas Howard,,,53,20,2
Looking,,2014,Muddy Waters Coffee House,"521 Valencia St, San Francisco, CA 94110",37.764506,-122.421592,,"Mission Street Productions, LLC",Home Box Office (HBO),Andrew Haigh,Michael Lannan,Jonathan Groff,Frankie J. Alvarez,Murray Bartlett,53,20,2
Looking,Season 2 ep 209,2015,Muddy Waters Coffee House,"521 Valencia St, San Francisco, CA 94110",37.764506,-122.421592,,"Mission Street Productions, LLC",HBO,Andrew Haigh,Michael Lannan,Jonathan Groff,Frankie Alvarez,Murray Bartlett,53,20,2
Tales of the City,,2019,Valencia btwn Liberty and 21st St,"956 Valencia St, San Francisco, CA 94110",37.757567,-122.421427,,Universal Television LLC,Netflix,"Alan Poul, Silas Howard, Stacie Passon","Armistead Maupin, Lauren Morelli, Hansol Jung, Marcus Gardley",Laura Linney,Ellen Page,Murray Bartlett,53,20,2
Dream for an Insomniac,,1996,Elbo Room (647 Valencia Street),"Elbo Room (647 Valencia Street), San Francisco CA",37.762505,-122.421382,"This location is called the ""Café Blue Eyes"" in the film.",Triton Productions,Columbia TriStar Home Video,Tiffanie DeBartolo,Tiffanie DeBartolo,Ione Skye,Jennifer Aniston,,53,20,2
Looking,Special,2016,3079 16th Street,"3079 16th Street, San Francisco CA",37.764688,-122.421318,,"Mission Street Productions, LLC",HBO,Andrew Haigh,Michael Lannan,Jonathan Groff,Frankie Alvarez,Murray Bartlett,53,20,2
Looking,Season 2 ep 204,2015,"Esta Noche, 3079 16th Street","Esta Noche, 3079 16th Street, San Francisco CA",37.764688,-122.421318,,"Mission Street Productions, LLC",HBO,Andrew Haigh,Michael Lannan,Jonathan Groff,Frankie Alvarez,Murray Bartlett,53,20,2
Looking,Season 2 ep 202,2015,901 Valencia Street,"901 Valencia Street, San Francisco CA",37.758364,-122.421001,,"Mission Street Productions, LLC",HBO,Andrew Haigh,Michael Lannan,Jonathan Groff,Frankie Alvarez,Murray Bartlett,53,20,2
